country,iso,survey_start_year,survey_end_year,age_group,population,region,sub_region,intermediate_region,contraceptive_any_method,contraceptive_any_modern_method,contraceptive_any_traditional_method,contraceptive_emergency_contraception,contraceptive_female_condom,contraceptive_female_sterilization,contraceptive_implant,contraceptive_injectable,contraceptive_iud,contraceptive_lactational_amenorrhea_method_lam,contraceptive_male_condom,contraceptive_male_sterilization,contraceptive_other_modern_methods,contraceptive_other_traditional_methods,contraceptive_pill,contraceptive_rhythm,contraceptive_vaginal_barrier_methods,contraceptive_withdrawal,unmet_need_limiting,unmet_need_spacing,unmet_need_total,demand_satisfied,data_source_datacatalog_id,data_source_datacatalog_longname,data_source_source,notes,notes_contraceptive_use_methods,notes_contraceptive_use_population,notes_contraceptive_use_residuals_modern_methods,notes_contraceptive_use_residuals_traditional_methods,notes_note_on_country,notes_unmet_need_indicator,notes_unmet_need_population_excluded,notes_unmet_need_population_included
Eritrea,232,2002,2002,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,8,7.2,0.8,NA,0,0.2,NA,2.6,0.4,2.1,0.6,NA,NA,NA,1.4,0.7,0,0.1,6.8,21.6,28.5,19.7,1849,Eritrea 2002 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,232,2010,2010,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,8.4,7,1.3,NA,NA,0.2,0,1.8,0.3,1.6,0.8,0,NA,NA,2.3,1.1,NA,0.2,6.8,20.6,27.4,19.6,5919,Eritrea 2010 Population and Health Survey,National survey,,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,233,1994,1994,20-49,SA,Europe,Northern Europe,NA,70.3,56.4,13.8,NA,NA,NA,NA,NA,35.9,NA,16.1,NA,NA,1.2,3.9,8.1,0.6,4.5,NA,NA,NA,NA,2836,Estonia 1994 Fertility and Family Survey,FFS,,Adjusted. Data pertain to methods used during the last month.,"Data pertain to sexually active, non-pregnant women.",NA,NA,NA,NA,NA,NA
Estonia,233,2004,2005,18-49,MW,Europe,Northern Europe,NA,63.4,57.9,5.5,2.7,NA,0.1,NA,NA,21.5,NA,13.5,NA,0.5,NA,19,3.3,0.7,2.2,NA,NA,NA,NA,5424,Estonia 2005 Gender and Generation Survey,GGS,,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women with co-resident male partner.,NA,NA,NA,NA,NA,NA
Ethiopia,231,1990,1990,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,4.8,2.9,1.9,NA,NA,0.3,NA,0,0.3,NA,0.1,0,NA,1.2,2.2,0.5,0,0.1,NA,NA,NA,NA,184,Ethiopia 1990 National Fertility and Family Survey,National survey,,NA,Data pertain to non-pregnant women.,NA,Including abstinence and folk methods.,"Excluding Eritrea, Tigray, Asseb, Ogaden, parts of Gondar and Wello and nomadic populations.",NA,NA,NA
Ethiopia,231,1997,1997,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,3.3,2.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3082,Ethiopia 1997 Southern Nations Community and Family Survey,National survey,,NA,Data pertain to non-pregnant women.,"Including male and female sterilization, pills, injectables, IUD, male condoms and vaginal barrier methods.","Including rhythm, withdrawal, abstinence and breastfeeding.","Data pertain to urban areas and rural areas of Guraghe, Hadiya, North Omo, Timbaro (K.A.T.) and Sidamo.",NA,NA,NA
Ethiopia,231,2e3,2e3,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,8.1,6.3,1.7,NA,NA,0.3,0,3.1,0.1,NA,0.3,NA,NA,0.1,2.5,1.5,NA,0.2,15.7,20.9,36.6,14.1,1694,Ethiopia 2000 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,231,2005,2005,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,14.7,13.9,0.8,NA,NA,0.2,0.2,9.9,0.2,0.2,0.2,NA,NA,NA,3.1,0.6,NA,0.3,16.6,19.5,36.1,27.4,1858,Ethiopia 2005 Demographic and Health Survey,DHS,,Figures by method do not add up to the total.,NA,NA,NA,NA,NA,NA,NA
Ethiopia,231,2010,2011,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,28.6,27.3,1.3,NA,NA,0.5,3.4,20.8,0.3,NA,0.2,NA,0,0.1,2.1,0.9,NA,0.3,9.8,16.5,26.3,49.7,5053,Ethiopia 2011 Demographic and Health Survey,DHS,,NA,NA,"Including emergency contraception, female condom and male sterilization.",Including lactational amenorrhea (LAM).,NA,NA,NA,NA
Ethiopia,231,2014,2014,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,33.4,32.8,0.6,0,NA,0.1,5.1,24.4,0.7,0.1,0.2,NA,0.1,NA,2,0.3,NA,0,9.4,14.9,24.3,56.8,5503,Ethiopia 2014 PMA2020 Round 1,PMA,,NA,NA,Including female condoms.,NA,NA,NA,NA,NA
Ethiopia,231,2014,2014,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,35.6,34.3,1.3,0,NA,0.3,7.2,23.8,0.7,0.4,0.2,NA,0.1,NA,1.6,0.6,NA,0.2,9.1,15.1,24.1,57.5,5765,Ethiopia 2014 PMA2020 Round 2,PMA,,NA,NA,Including female condoms.,NA,NA,NA,NA,NA
Ethiopia,231,2014,2014,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,42,40.4,1.6,NA,NA,0.1,4.9,31.1,1,NA,0.4,NA,0.2,0.3,2.7,0.9,NA,0.4,NA,NA,NA,NA,7347,Ethiopia 2014 Mini Demographic and Health Survey,National survey,,,NA,NA,NA,NA,NA,NA,NA
Ethiopia,231,2015,2015,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,37.9,35.9,2.1,0.1,0,0.4,7.5,24.5,0.9,0.1,0.2,NA,0.1,0.2,2.1,0.9,NA,0,9.1,15.4,24.4,57.6,6001,Ethiopia 2015 PMA2020 Round 3,PMA,,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,231,2016,2016,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,39.2,37.3,1.9,NA,0,0.3,9,24.1,0.8,0.3,0.2,NA,NA,0,2.8,1.6,NA,0.2,8.8,15.2,24,59,6115,Ethiopia 2016 PMA2020 Round 4,PMA,,Figures by method do not add up to the total.,NA,NA,NA,NA,NA,NA,NA
Ethiopia,231,2016,2016,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,35.9,35.1,0.7,0,NA,0.4,7.9,22.8,2,0.1,0.1,NA,NA,NA,1.8,0.6,NA,0.1,9.3,13,22.3,60.3,5808,Ethiopia 2016 Demographic and Health Survey (DHS),DHS,,NA,NA,"Including male condoms, emergency contraception, SDM and LAM",NA,NA,NA,NA,NA
Ethiopia,231,2017,2017,15-49,MW,Africa,Sub-Saharan Africa,Eastern Africa,36.5,35.2,1.3,NA,NA,0.2,8.3,23.3,1.2,NA,0.1,NA,0.2,1.3,1.8,NA,NA,NA,7.5,15.3,22.8,59.4,7480,Ethiopia 2017 PMA2020 Round 5,PMA,,NA,NA,"Including male and female condoms, emergency contraception, LAM and beads",NA,NA,NA,NA,NA
Fiji,242,1974,1974,15-49,MW,Oceania,Melanesia,NA,40.9,35.1,5.8,NA,NA,15.8,NA,0.3,4.7,NA,6,0.1,NA,0.7,8.2,2.3,0,2.8,NA,NA,NA,NA,3088,Fiji 1974 World Fertility Survey,WFS,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Finland,246,1971,1971,<45,EM,Europe,Northern Europe,NA,77,53.9,23.1,NA,NA,NA,NA,NA,3.1,NA,30.8,NA,0,6.1,20,0.8,NA,16.2,NA,NA,NA,NA,5093,Finland 1971 Sex Life Survey ,National survey,,NA,Data pertain to ever-married women of reproductive age.,Excluding male and female sterilization.,NA,NA,NA,NA,NA
Finland,246,1977,1977,18-44,EM,Europe,Northern Europe,NA,80,77.2,2.8,NA,NA,4,NA,NA,28.8,NA,32,0.8,0,0,11.2,0.4,0.4,2.4,NA,NA,NA,NA,5094,Finland 1977 Fertility Survey,National survey,,NA,Data pertain to ever-married women of reproductive age.,NA,NA,NA,NA,NA,NA
Finland,246,1989,1990,25-49,MW,Europe,Northern Europe,NA,77.4,75.4,2.1,NA,NA,14.9,NA,1.9,25.8,NA,20.1,1.1,NA,0.8,11.3,0.7,0.3,0.6,NA,NA,NA,NA,2794,Finland 1989-1990 Fertility and Family Survey,FFS,,Including some cases of sterilization for non-contraceptive reasons.,NA,NA,NA,NA,NA,NA,NA
Finland,246,1992,1992,18-49,MW,Europe,Northern Europe,NA,78.8,75.5,3.4,0,NA,NA,NA,NA,10.6,NA,24.5,NA,5.3,NA,35.1,0,NA,3.4,NA,NA,NA,NA,7511,Finland 1992 Sex Survey,National survey,,NA,NA,NA,NA,NA,NA,NA,NA
Finland,246,1999,1999,18-49,MW,Europe,Northern Europe,NA,79.5,72.8,6.6,0,NA,NA,NA,NA,7.3,NA,27.2,NA,4.6,NA,33.8,1.3,NA,5.3,NA,NA,NA,NA,3092,Finland 1999 Sex Survey,National survey,,NA,NA,NA,NA,NA,NA,NA,NA
Finland,246,2007,2007,18-49,MW,Europe,Northern Europe,NA,74.2,68.9,5.3,0.4,NA,NA,NA,NA,9.8,NA,22.7,NA,4,NA,32,1.8,NA,3.6,NA,NA,NA,NA,7512,Finland 2007 Sex Survey,National survey,,NA,NA,NA,NA,NA,NA,NA,NA
Finland,246,2015,2015,18-49,MW,Europe,Northern Europe,NA,85.5,81.6,3.9,1.1,NA,NA,NA,NA,10.1,NA,30.7,NA,3.9,NA,35.8,0.6,NA,3.4,NA,NA,NA,NA,7513,Finland 2015 Sex Survey,National survey,,NA,NA,NA,NA,NA,NA,NA,NA
France,250,1971,1971,<45,EM,Europe,Western Europe,NA,64,20.9,43.1,NA,NA,NA,NA,NA,1.3,NA,7.7,NA,1,0.9,10.9,9,NA,33.2,NA,NA,NA,NA,5095,France 1971 Enquête sur la contraception en France ,National survey,,NA,Data pertain to ever-married women of reproductive age.,Including vaginal barrier methods.,NA,NA,NA,NA,NA
France,250,1977,1978,20-44,MW,Europe,Western Europe,NA,78.7,47.6,31.1,NA,NA,NA,NA,NA,10.3,NA,6.1,NA,4.6,2.5,26.6,6.4,NA,22.2,NA,NA,NA,NA,3095,France 1977-1978 World Fertility Survey,WFS,,NA,NA,Including male and female sterilization. ,NA,NA,NA,NA,NA
France,250,1988,1988,20-44,MW,Europe,Western Europe,NA,81.2,66.6,14.6,NA,NA,6.7,NA,NA,25.9,NA,4.3,0,0,1.6,29.7,6.4,0,6.6,NA,NA,NA,NA,2781,France 1988 Enquête sur la Régulation des Naissances (ERN),National survey,,NA,NA,NA,NA,NA,NA,NA,NA
France,250,1994,1994,20-49,MW,Europe,Western Europe,NA,74.5,69.3,5.3,NA,NA,8,NA,NA,19.9,NA,5,NA,NA,0.5,35.6,1.6,0.7,3.2,7.4,NA,7.4,84.6,2837,France 1994 Fertility and Family Survey,FFS,,NA,NA,NA,NA,NA,Data pertain to unmet need for limiting only.,NA,"Including sexually active, fecund married women (excluding those in unions), not practicing contraception and not wanting additional children or with a current pregnancy that was not wanted at conception.  "
France,250,2e3,2e3,18-44,MW,Europe,Western Europe,NA,81.8,76.5,5.3,NA,NA,NA,NA,NA,21.9,NA,4.7,NA,5.5,0.6,43.8,1.6,0.6,3.1,NA,NA,NA,NA,2897,France 2000 Enquête Cohorte Contraception,National survey,,Including some cases of sterilization for non-contraceptive reasons.,NA,Including male and female sterilization.,NA,NA,NA,NA,NA
France,250,2004,2005,15-49,MW,Europe,Western Europe,NA,76.6,74.8,1.7,NA,NA,NA,NA,NA,22.7,NA,6.8,NA,3.2,0.4,41.5,0.3,0.6,1,1.7,NA,1.7,95.5,4953,France 2005 Enquête du Baromètre Santé,National survey,,Including some cases of sterilization for non-contraceptive reasons.,NA,"Including male and female sterilization, injectables and implants.",NA,NA,Data pertain to unmet need for limiting only.,NA,NA
France,250,2005,2005,18-49,MW,Europe,Western Europe,NA,74.8,73.4,1.4,0,NA,4.9,1.3,0.1,19.2,NA,7.7,0.8,NA,NA,38.8,0.6,0.6,0.8,NA,NA,NA,NA,5430,France 2005 Generations and Gender Survey ,GGS,,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women with co-resident male partner.,NA,NA,NA,NA,NA,NA
France,250,2008,2008,20-49,MW,Europe,Western Europe,NA,76.4,74.1,2.3,0.9,NA,3.8,0.1,1,18.9,NA,7.9,0.8,NA,NA,40.6,1.9,0.2,0.4,NA,NA,NA,NA,5431,France 2008 Generations and Gender Survey ,GGS,,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women with co-resident male partner.,NA,NA,NA,NA,NA,NA
France,250,2010,2011,15-49,MW,Europe,Western Europe,NA,78.4,72.7,5.7,NA,NA,4.1,2,NA,21.5,NA,7,NA,1.2,5.7,36.6,NA,0.3,NA,NA,NA,NA,NA,5589,France 2010 Enquête Fecond,National survey,,NA,NA,"Including implants, contraceptive patch, and contraceptive ring.",Including rhythm and withdrawal.,NA,NA,NA,NA
Gabon,266,2e3,2e3,15-49,MW,Africa,Sub-Saharan Africa,Middle Africa,32.7,13.4,19.4,NA,NA,1,NA,0.5,NA,1.6,5.1,NA,0.3,1.8,4.8,15.8,NA,1.8,8.1,19.7,27.9,22.1,1737,Gabon 2000 Demographic and Health Survey,DHS,,NA,NA,"Including male sterilization, female condoms, IUD, implants and vaginal barrier methods.",Including folk methods.,NA,NA,NA,NA
Gabon,266,2012,2012,15-49,MW,Africa,Sub-Saharan Africa,Middle Africa,31.1,19.4,11.7,NA,NA,0.6,NA,0.4,NA,NA,12,NA,0.8,0.3,5.7,9.1,NA,2.3,7.7,18.7,26.5,33.7,5054,Gabon 2012 Demographic and Health Survey,DHS,,NA,NA,"Including emergency contraception, female condom, implants, IUD and male sterilization.",NA,NA,NA,NA,NA
Gambia,270,1990,1990,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,11.8,6.7,5.1,NA,NA,0.4,NA,1.7,0.9,NA,0.4,NA,NA,2,3.3,3.1,0,0,NA,NA,NA,NA,2797,Gambia 1990 Contraceptive Prevalence and Fertility Determinants Survey,National survey,,NA,NA,NA,Including folk methods.,NA,NA,NA,NA
Gambia,270,2e3,2e3,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,9.5,8.7,0.8,NA,NA,0.1,0,3.8,0.8,0,0.1,NA,NA,0.5,3.8,0.1,NA,0.2,NA,NA,NA,NA,1907,Gambia 2000 Multiple Indicator Cluster Survey,MICS,,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,270,2001,2001,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,17.5,12.7,2.4,NA,NA,0.7,NA,3.5,1.4,NA,0.5,NA,NA,0.1,6.5,2.1,0.1,0.2,NA,NA,NA,NA,2363,"Gambia 2001 National Survey on Maternal Perinatal, Neonatal and Infant Mortality and Contraceptive Prevalence",National survey,,Figures by method do not add up to the total.,NA,NA,Including folk methods.,NA,NA,NA,NA
Gambia,270,2010,2010,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,13.3,11.9,1.4,NA,NA,NA,NA,3.4,NA,1.8,NA,NA,NA,3.5,3.2,1.4,NA,NA,4.5,17,21.5,34.2,4998,Gambia 2010 Multiple Indicator Cluster Survey,MICS,,NA,NA,"Including female sterilization, implants, IUD, male condom and withdrawal.",NA,NA,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",NA,NA
Gambia,270,2013,2013,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,9,8.1,0.9,NA,NA,0.6,0.6,3.9,0.3,NA,0.6,NA,NA,0.4,2.1,0.2,NA,0.3,4.9,20,24.9,23.9,5462,Gambia 2013 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,268,1999,2e3,15-44,MW,Asia,Western Asia,NA,40.5,19.8,20.7,NA,NA,1.6,NA,0,9.7,NA,6.3,NA,1,NA,1,10.2,0.1,10.5,18.1,5.7,23.8,30.8,107,Georgia 1999 Reproductive Health Survey,RHS,,NA,NA,Including emergency contraception.,NA,NA,NA,"Excluding women who are currently pregnant, currently seeking to become pregnant, subfecund, or who are not sexually active, including women practicing post-partum abstinence. ","Including fecund married women, currently sexually active, currently exposed to the risk of pregnancy, not wanting to become pregnant, and not using a method of contraception other than folk methods, douches, breastfeeding or lactational amenorrhea (LAM)."
Georgia,268,2005,2005,15-44,MW,Asia,Western Asia,NA,47.3,26.6,20.7,NA,NA,2.2,NA,0,11.6,NA,8.7,NA,0,NA,3.2,9.5,0.9,11.2,12,4.3,16.3,41.8,715,Georgia 2005 Reproductive Health Survey,RHS,,NA,NA,NA,NA,NA,NA,"Excluding women who are currently pregnant, currently seeking to become pregnant, subfecund, or who are not sexually active, including women practicing post-partum abstinence. ","Including fecund married women, currently sexually active, currently exposed to the risk of pregnancy, not wanting to become pregnant, and not using a method of contraception other than folk methods, douches, breastfeeding or lactational amenorrhea (LAM)."
Georgia,268,2006,2006,18-49,MW,Asia,Western Asia,NA,45.6,31.1,14.5,0.1,NA,6,NA,0.2,10.3,NA,6.4,0.1,NA,NA,7.7,13.1,0.3,1.3,NA,NA,NA,NA,5433,Georgia 2006 Generations and Gender Survey ,GGS,,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women with co-resident male partner.,NA,NA,NA,NA,NA,NA
Georgia,268,2009,2009,21-49,MW,Asia,Western Asia,NA,35.5,26.7,8.8,0.1,NA,4.7,NA,0.1,8.1,NA,7.1,0.1,NA,NA,6.2,7.7,0.4,1,NA,NA,NA,NA,5432,Georgia 2009 Generations and Gender Survey ,GGS,,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women with co-resident male partner.,NA,NA,NA,NA,NA,NA
Georgia,268,2010,2010,15-44,MW,Asia,Western Asia,NA,53.4,34.7,18.5,NA,NA,2.9,NA,NA,12.5,NA,13.6,NA,0.1,NA,4.1,7.4,1.5,11.1,NA,NA,12.3,52.8,5453,Georgia 2010 Reproductive Health Survey,RHS,,NA,NA,NA,NA,NA,NA,NA,"Data pertain to women who are married and fecund, had intercourse within the past month, and are not pregnant, postpartum or seeking pregnancy and are not using contraception."
Germany,276,1985,1985,15-44,MW,Europe,Western Europe,NA,77.9,67.6,10.3,NA,NA,10.3,0,0,14.6,NA,5.7,2.1,0,1.9,33.7,4.2,1.2,4.2,NA,NA,NA,NA,6030,Germany 1985 Survey on Family Planning Behaviour,National survey,,Adjusted.,NA,NA,NA,Data pertain to the former Federal Republic of Germany.,NA,NA,NA
Germany,276,1992,1992,20-39,MW,Europe,Western Europe,NA,70.1,65.6,4.5,NA,NA,5.5,NA,0,5.3,NA,1.1,0.5,NA,0.3,52.6,3.7,0.6,0.5,NA,NA,NA,NA,2821,Germany 1992 Fertility and Family Survey,FFS,,NA,NA,NA,NA,NA,NA,NA,NA
Germany,276,2005,2005,18-49,MW,Europe,Western Europe,NA,66.2,61.6,4.7,0.2,NA,8.3,0.3,0.7,5.9,NA,6.2,2.4,NA,NA,37.2,3.9,0.5,0.7,NA,NA,NA,NA,5434,Germany 2005 Generations and Gender Survey ,GGS,,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women with co-resident male partner.,NA,NA,NA,NA,NA,NA
Germany,276,2008,2008,21-49,MW,Europe,Western Europe,NA,50.7,49.2,1.5,NA,NA,NA,0.4,1.7999999999999998,9.1,NA,8,NA,NA,NA,29.5,1.2999999999999998,0.4,0.2,NA,NA,NA,NA,5435,Germany 2008 Generations and Gender Survey ,GGS,NA,Excluding male and female sterilization.,Data pertain to women with co-resident male partner.,NA,NA,NA,NA,NA,NA
Germany,276,2011,2011,18-49,AL,Europe,Western Europe,NA,68.7,68.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7519,Germany 2011 Survey on Family Planning Behaviour,National survey,,Figures by method do not add up to the total because some methods are used in combination.,"Data pertain to all women of reproductive age, irrespective of marital status.",NA,NA,NA,NA,NA,NA
Ghana,288,1979,1980,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,9.5,5.5,4,NA,NA,0.5,NA,0.1,0.3,NA,0.6,0,0,3.1,2.4,0.7,1.6,0.2,NA,NA,NA,NA,658,Ghana 1979-1980 World Fertility Survey,WFS,,NA,NA,NA,Including abstinence and douching.,NA,NA,NA,NA
Ghana,288,1988,1988,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,12.9,5.2,7.7,NA,NA,1,NA,0.3,0.5,NA,0.3,NA,NA,0.6,1.8,6.2,1.3,0.9,9,26.2,35.2,10.8,1753,Ghana 1988 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,1991,1992,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,17.2,7.2,9.9,NA,NA,0.2,NA,0.9,0.8,NA,1.2,0,0.7,7,3.4,2.8,NA,0.1,NA,NA,NA,NA,2016,Ghana 1991-1992 Living Standards Measurement Survey,LSMS,,NA,NA,Including female condoms.,Including abstinence and douching.,NA,NA,NA,NA
Ghana,288,1993,1994,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,20.3,10.1,10.1,NA,NA,0.9,0,1.6,0.9,NA,2.2,NA,NA,0.5,3.2,7.5,1.2,2.1,12.1,24.8,36.9,17.7,1754,Ghana 1993 Demographic and Health Survey,DHS,,Figures by method do not add up to the total.,NA,NA,NA,NA,NA,NA,NA
Ghana,288,1998,1999,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,15,10.6,4.3,NA,NA,0.3,NA,2.5,0.3,NA,1.9,NA,0.2,1.5,5.4,2.5,NA,0.3,NA,NA,NA,NA,2007,Ghana 1998-1999 Living Standards Measurement Survey,LSMS,,NA,NA,Including female condoms.,Including abstinence and douching.,NA,NA,NA,NA
Ghana,288,1998,1999,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,22,13.3,8.7,NA,NA,1.3,0.1,3.1,0.7,0.5,2.7,0,NA,0.6,3.9,6.6,0.9,1.5,12.3,22.5,34.7,23.5,1751,Ghana 1998 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,2003,2003,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,25.2,18.7,6.5,NA,0.1,1.9,1,5.4,0.9,0.3,3.1,NA,NA,0.6,5.5,5.1,0.5,0.8,13.7,20.7,34.5,31.3,1752,Ghana 2003 Demographic and Health Survey,DHS,,NA,NA,NA,Including folk methods.,NA,NA,NA,NA
Ghana,288,2005,2006,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,24.2,16.7,7.4,NA,0.2,0.1,0.3,5.2,0.3,1,3.5,NA,NA,2.3,5.9,4.4,0.2,0.7,NA,NA,NA,NA,4954,Ghana 2005-2006 Living Standards Measurement Survey,LSMS,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Ghana,288,2006,2006,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,16.6,14,2.7,NA,0.1,0.4,0.6,5.8,0.3,0.4,1.5,NA,NA,0.3,4.7,2.1,0.3,0.2,NA,NA,NA,NA,166,Ghana 2006 Multiple Indicator Cluster Survey,MICS,,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,2008,2008,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,23.5,16.6,6.9,NA,0.1,1.6,0.9,6.2,0.2,NA,2.4,NA,NA,0.8,4.7,4.7,0.3,1.4,14.2,21.5,35.7,28,4688,Ghana 2008 Demographic and Health Survey,DHS,,Figures by method do not add up to the total.,NA,NA,Including folk methods.,NA,NA,NA,NA
Ghana,288,2011,2011,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,34.7,24.9,9.8,NA,0,1.5,1.8,8.8,0.6,1.5,2.6,0,NA,0.4,7.7,8.5,0.1,0.9,10.1,16.3,26.4,40.8,5e3,Ghana 2011 Multiple Indicator Cluster Survey,MICS,,Figures by method do not add up to the total.,NA,NA,NA,NA,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",NA,NA
Ghana,288,2013,2013,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,19.8,18.2,1.6,0.8,0.1,0.3,2.2,7.1,0.4,NA,1.6,NA,0.1,0.1,5.6,1.2,0,0.2,12.8,24.4,37.2,31.9,5602,Ghana 2013 PMA2020 Round 1,PMA,,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,2014,2014,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,19.6,17.6,2,0.4,0,0.4,3.2,7.2,0.4,0.4,0.8,0,0.4,0.1,4.3,1.6,NA,0.3,12.3,25.9,38.2,30.4,5766,Ghana 2014 PMA2020 Round 2,PMA,,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,2014,2014,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,25.6,20.8,4.8,0.6,0.2,0.7,3.7,8.2,0.4,0.9,1.1,NA,0.9,0.5,4,3.4,0.1,0.9,10.4,22.2,32.7,35.7,5767,Ghana 2014 PMA2020 Round 3,PMA,,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,2014,2014,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,26.7,22.2,4.5,NA,0,1.9,5.2,8,0.8,0.2,1.2,NA,0.3,0.2,4.7,3.2,0,1.1,11.7,15,26.7,41.6,5778,Ghana 2014 Demographic and Health Survey,DHS,,Figures by method do not add up to the total.,NA,NA,NA,NA,NA,NA,NA
Ghana,288,2015,2015,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,34.7,28.6,6,1.6,0.1,0.8,5.4,12.9,0.7,0.1,1.7,NA,0.7,0.7,4.6,4.4,0,1,10.3,19.4,29.6,44.5,5995,Ghana 2015 PMA2020 Round 4,PMA,,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,2016,2016,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,30.6,25.6,5,1,0.3,0.8,6.6,8.1,0.5,0.2,2.4,NA,0.8,1,4.8,3,0,1,12.2,20,32.3,40.6,7360,Ghana 2016 PMA2020 Round 5,PMA,,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,288,2017,2017,15-49,MW,Africa,Sub-Saharan Africa,Western Africa,33,27.4,5.6,1.2,NA,1.5,8.4,7.8,0.6,NA,1.7,NA,1.5,5.6,4.8,NA,NA,NA,10.4,15.9,26.3,46.2,7497,Ghana 2017 PMA2020 Round 6,PMA,,NA,NA,NA,NA,NA,NA,NA,NA
Greece,300,1983,1983,15-44,AL,Europe,Southern Europe,NA,77.2,31.6,45.6,NA,NA,0.8,NA,NA,2,NA,27.4,0,NA,10.5,1.2,NA,0.2,35.1,NA,NA,NA,NA,3113,Greece 1983 Fertility Survey,National survey,,NA,"Data pertain to all women of reproductive age, irrespective of marital status.",NA,Including rhythm.,NA,NA,NA,NA
Greece,300,1999,1999,20-49,MW,Europe,Southern Europe,NA,61.3,33.6,27.7,NA,NA,5.8,NA,NA,3.6,NA,22,0,NA,NA,2.2,2.4,0,25.3,NA,NA,NA,NA,2887,Greece 1999 Fertility and Family Survey,FFS,,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women who were sexually active during the month prior to the interview.,NA,NA,NA,NA,NA,NA
Greece,300,2001,2001,16-45,SA,Europe,Southern Europe,NA,76.2,45.9,30.3,NA,NA,NA,NA,NA,3.6,NA,33.9,NA,NA,5.1,4.8,NA,NA,28.8,NA,NA,NA,NA,4981,Greece 2001 Family planning survey,National survey,,Adjusted.,Data pertain to sexually active women of reproductive age.,NA,NA,NA,NA,NA,NA
